date,code,usdprice
2017-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2017-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2017-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
2018-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2018-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
2018-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2018-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2018-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.45
2018-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2018-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2018-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.45
2018-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2018-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.42
2018-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.45
2018-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2019-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
2019-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.49
2019-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
2019-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.45
2019-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2019-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.49
2019-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.5
2019-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.47
2019-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
2019-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
2019-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2019-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2020-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
2020-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.49
2020-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.45
2020-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2020-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2020-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2020-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2020-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.43
2020-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.4
2020-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.44
2020-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.45
2020-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.46
2021-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.5
2021-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.49
2021-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.5
2021-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.5
2021-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.5
2021-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.49
2021-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.48
1994-01-15,Delhi-Delhi-Delhi-Rice-KG-INR,0.25
